Date,Type,Value,reg_name,reg_istat_code_num,prov_name,prov_istat_code_num
29/01/2020,positive,2,Lazio,12,,
30/01/2020,positive,2,Lazio,12,,
31/01/2020,positive,2,Lazio,12,,
01/02/2020,positive,2,Lazio,12,,
02/02/2020,positive,2,Lazio,12,,
03/02/2020,positive,2,Lazio,12,,
04/02/2020,positive,2,Lazio,12,,
05/02/2020,positive,2,Lazio,12,,
06/02/2020,positive,3,Lazio,12,,
07/02/2020,positive,3,Lazio,12,,
08/02/2020,positive,3,Lazio,12,,
09/02/2020,positive,3,Lazio,12,,
10/02/2020,positive,3,Lazio,12,,
11/02/2020,positive,3,Lazio,12,,
12/02/2020,positive,3,Lazio,12,,
13/02/2020,positive,3,Lazio,12,,
14/02/2020,positive,3,Lazio,12,,
15/02/2020,positive,3,Lazio,12,,
16/02/2020,positive,3,Lazio,12,,
17/02/2020,positive,3,Lazio,12,,
18/02/2020,positive,3,Lazio,12,,
19/02/2020,positive,3,Lazio,12,,
20/02/2020,positive,3,Lazio,12,,
21/02/2020,discharged,1,Italia,,,
21/02/2020,deceased,1,Italia,,,
21/02/2020,positive,2,Veneto,5,,
21/02/2020,positive,3,Lazio,12,,
21/02/2020,positive,3,Lombardia,3,,
22/02/2020,positive,1,Piemonte,1,,
22/02/2020,positive,1,Emilia-Romagna,8,,
22/02/2020,positive,6,Lombardia,3,,
22/02/2020,deceased,2,Italia,,,
23/02/2020,positive,3,Trentino-Alto Adige/Südtirol,4,,
23/02/2020,deceased,2,Italia,,,
23/02/2020,positive,8,Lombardia,3,,
23/02/2020,positive,1,Trentino-Alto Adige/Südtirol,4,,
24/02/2020,deceased,6,Italia,,,
24/02/2020,discharged,1,Italia,,,
24/02/2020,positive,167,Lombardia,3,,
24/02/2020,positive,32,Veneto,5,,
24/02/2020,positive,18,Emilia-Romagna,8,,
24/02/2020,positive,3,Lazio,12,,
24/02/2020,positive,3,Piemonte,1,,
25/02/2020,deceased,10,Italia,,,
25/02/2020,discharged,1,Italia,,,
25/02/2020,positive,240,Lombardia,3,,
25/02/2020,positive,43,Veneto,5,,
25/02/2020,positive,26,Emilia-Romagna,8,,
25/02/2020,positive,1,Liguria,7,,
25/02/2020,positive,3,Lazio,12,,
25/02/2020,positive,2,Toscana,9,,
